state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
AK,2,"Anchorage, AK",11260,380821,Anchorage,291247,"Anchorage Municipality (North) PUMA, Alaska",101,134554,N Anchorage,,1705,130,Anchorage,291247,5 Core City
AK,2,"Anchorage, AK",11260,380821,Anchorage,291247,"Anchorage Municipality (South) PUMA, Alaska",102,157536,S Anchorage,,2475,236,Anchorage,291247,5 Core City
AK,2,"Anchorage, AK",11260,181764,Anchorage,291247,"Matanuska-Susitna & Kenai Peninsula Boroughs PUMA, Alaska",200,166169,Knik-Fairview,19297,69,4,Knik-Fairview,19297,2 Town
AK,2,Not in a CBSA,,45883,Juneau,32255,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA; Alaska",300,167036,Juneau,32255,74,2,Juneau,32255,2 Town
AK,2,Not in a CBSA,,7776,Not in a CBSA,,"Subsistence Alaska PUMA, Alaska",400,111695,Sitka,8458,3,0,No Principal City,,1 Rural
AL,1,"Florence-Muscle Shoals, AL",22520,106154,Florence,40184,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",100,186731,Florence,40184,232,89,Florence,40184,2 Town
AL,1,"Huntsville, AL",26620,417593,Huntsville,215006,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",200,197583,Athens,25406,225,187,No Principal City,,2 Town
AL,1,"Huntsville, AL",26620,417593,Huntsville,215006,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",301,133641,N Huntsville (E Madison),,1569,1417,Huntsville,215006,5 Core City
AL,1,"Huntsville, AL",26620,417593,Huntsville,215006,"Huntsville City (Central & South) PUMA, Alabama",302,102450,C & S Huntsville,,1918,1637,Huntsville,215006,5 Core City
AL,1,"Scottsboro, AL",42460,62817,Scottsboro,15578,"DeKalb & Jackson Counties PUMA, Alabama",400,123195,Scottsboro,15578,87,66,Scottsboro,15578,1 Rural
AL,1,"Albertville, AL",10700,128274,Albertville,22386,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama",500,127070,Albertville,22386,218,173,Albertville,22386,2 Town
AL,1,"Decatur, AL",19460,153829,Decatur,57938,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama",600,152321,Decatur,57938,304,120,Decatur,57938,3 Small City
AL,1,"Cullman, AL",18980,60918,Cullman,18213,"Cullman & Winston Counties PUMA, Alabama",700,107057,Cullman,18213,113,79,Cullman,18213,2 Town
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"St. Clair & Blount Counties PUMA, Alabama",800,146986,Pell City,12939,135,114,No Principal City,,1 Rural
AL,1,"Gadsden, AL",23460,104430,Gadsden,33945,"Etowah County PUMA, Alabama",900,102721,Gadsden,33945,357,192,Gadsden,33945,2 Town
AL,1,"Talladega-Sylacauga, AL",45180,44421,Talladega,15861,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA; Alabama",1000,157248,Talladega,15861,89,52,Talladega,15861,2 Town
AL,1,"Anniston-Oxford, AL",11500,118572,Anniston,21564,"Calhoun County PUMA, Alabama",1100,114324,Anniston,21564,365,189,Anniston,21564,2 Town
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"Shelby County PUMA, Alabama",1200,216175,Alabaster,33284,549,272,Birmingham,200733,4 Satellite
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"Birmingham City (West) PUMA, Alabama",1301,92564,W Birmingham,,2731,2187,Birmingham,200733,5 Core City
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"Birmingham City (East) PUMA, Alabama",1302,104316,E Birmingham,,2341,2002,Birmingham,200733,5 Core City
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA; Alabama",1303,171744,Hoover,92606,1774,1265,Hoover,92606,3 Small City
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA; Alabama",1304,175530,Trussville,26123,614,391,Birmingham,200733,4 Satellite
AL,1,"Birmingham-Hoover, AL",13820,1128047,Birmingham,200733,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA; Alabama",1305,114334,Bessemer,26019,557,264,Hoover,92606,4 Satellite
AL,1,"Jasper, AL",27530,188255,Jasper,14572,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA; Alabama",1400,116563,Jasper,14572,68,45,Jasper,14572,1 Rural
AL,1,"Tuscaloosa, AL",46220,230162,Tuscaloosa,99600,"Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA, Alabama",1500,109568,Northport,31125,90,51,Tuscaloosa,99600,4 Satellite
AL,1,"Tuscaloosa, AL",46220,230162,Tuscaloosa,99600,"Tuscaloosa & Northport (Southeast) Cities PUMA, Alabama",1600,119335,Tuscaloosa,99600,1889,1617,Tuscaloosa,99600,3 Small City
AL,1,"Selma, AL",42820,58637,Selma,17971,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA; Alabama",1700,124370,Selma,17971,50,23,Selma,17971,2 Town
AL,1,"Alexander City, AL",10760,127506,Alexander City,14843,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA; Alabama",1800,128720,Alexander City,14843,83,49,Alexander City,14843,1 Rural
AL,1,"Auburn-Opelika, AL",12220,140247,Auburn,76143,"Lee County--Auburn City PUMA, Alabama",1900,163461,Auburn,76143,532,265,Auburn,76143,3 Small City
AL,1,"Montgomery, AL",33860,374536,Montgomery,200603,"Montgomery City & Pike Road Town (North) PUMA, Alabama",2000,194436,Montgomery,200603,2090,1488,Montgomery,200603,5 Core City
AL,1,"Montgomery, AL",33860,374536,Montgomery,200603,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA; Alabama",2100,179116,Wetumpka,7220,169,68,No Principal City,,1 Rural
AL,1,"Atmore, AL",12120,22314,Atmore,8391,"Southwest Alabama PUMA, Alabama",2200,133509,Atmore,8391,29,19,Atmore,8391,1 Rural
AL,1,Not in a CBSA,,34166,Not in a CBSA,,"Coffee, Covington, Butler & Crenshaw Counties PUMA; Alabama",2300,122886,Andalusia,8805,87,40,No Principal City,,1 Rural
AL,1,"Troy, AL",45980,60998,Troy,17727,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA; Alabama",2400,144848,Troy,17727,129,42,Troy,17727,1 Rural
AL,1,"Dothan, AL",20020,110848,Dothan,71072,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA; Alabama",2500,198118,Dothan,71072,200,87,Dothan,71072,3 Small City
AL,1,"Daphne-Fairhope-Foley, AL",19300,182265,Daphne,27462,"Baldwin County PUMA, Alabama",2600,218289,Daphne,27462,251,134,Daphne,27462,2 Town
AL,1,"Mobile, AL",33660,412992,Mobile,187041,"Mobile City (East) PUMA, Alabama",2701,103328,E Mobile,,2342,1712,Mobile,187041,5 Core City
AL,1,"Mobile, AL",33660,412992,Mobile,187041,"Mobile City (West) PUMA, Alabama",2702,107931,W Mobile,,2200,1887,Mobile,187041,5 Core City
AL,1,"Mobile, AL",33660,412992,Mobile,187041,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA; Alabama",2703,202718,Prichard,19322,326,182,Mobile,187041,4 Satellite
AR,5,"Fayetteville-Springdale-Rogers, AR",22220,463204,Fayetteville,93949,"Benton County PUMA, Arkansas",100,273510,Rogers,69908,548,314,Rogers,69908,3 Small City
AR,5,"Fayetteville-Springdale-Rogers, AR",22220,463204,Fayetteville,93949,"Washington County PUMA, Arkansas",200,236198,Fayetteville,93949,709,247,Fayetteville,93949,3 Small City
AR,5,"Harrison, AR",25460,42034,Harrison,13069,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA; Arkansas",300,155890,Harrison,13069,63,33,Harrison,13069,1 Rural
AR,5,"Batesville, AR",12900,21029,Batesville,11191,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA; Arkansas",400,134922,Batesville,11191,44,30,Batesville,11191,1 Rural
AR,5,"Jonesboro, AR",27860,54164,Jonesboro,78576,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA; Arkansas",500,193087,Jonesboro,78576,232,65,Jonesboro,78576,3 Small City
AR,5,"Blytheville, AR",14180,249154,Blytheville,13406,"Crittenden, Mississippi & Craighead (East) Counties PUMA; Arkansas",600,100123,West Memphis,24520,223,58,No Principal City,,2 Town
AR,5,"Forrest City, AR",22620,28605,Forrest City,13015,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA; Arkansas",700,99793,Forrest City,13015,86,26,Forrest City,13015,1 Rural
AR,5,"Searcy, AR",42620,43971,Searcy,22937,"White, Jackson, Prairie & Woodruff Counties PUMA; Arkansas",800,110248,Searcy,22937,85,38,Searcy,22937,2 Town
AR,5,"Little Rock-North Little Rock-Conway, AR",30780,699757,Little Rock,202591,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA; Arkansas",900,207668,North Little Rock,64591,818,322,North Little Rock,64591,3 Small City
AR,5,"Little Rock-North Little Rock-Conway, AR",30780,699757,Little Rock,202591,"Pulaski County (Central)--Little Rock City PUMA, Arkansas",1000,185434,Little Rock,202591,2191,1615,Little Rock,202591,5 Core City
AR,5,"Little Rock-North Little Rock-Conway, AR",30780,699757,Little Rock,202591,"Faulkner & Lonoke Counties PUMA, Arkansas",1100,197939,Conway,64134,324,138,Conway,64134,3 Small City
AR,5,"Little Rock-North Little Rock-Conway, AR",30780,699757,Little Rock,202591,"Saline County PUMA, Arkansas",1200,120990,Benton,35014,341,165,No Principal City,,2 Town
AR,5,"Russellville, AR",40780,64389,Russellville,28940,"Pope, Johnson, Yell, Conway & Perry Counties PUMA; Arkansas",1300,143063,Russellville,28940,96,41,Russellville,28940,2 Town
AR,5,"Fort Smith, AR-OK",22900,280467,Fort Smith,89142,"Sebastian & Crawford Counties PUMA, Arkansas",1400,190889,Fort Smith,89142,506,169,Fort Smith,89142,3 Small City
AR,5,Not in a CBSA,,17642,Not in a CBSA,,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA; Arkansas",1500,99803,Mena,5589,49,24,No Principal City,,1 Rural
AR,5,"Hot Springs, AR",26300,54963,Hot Springs,37930,"Garland, Hot Spring, Clark & Montgomery Counties PUMA; Arkansas",1600,164015,Hot Springs,37930,170,56,Hot Springs,37930,2 Town
AR,5,"Pine Bluff, AR",38220,116113,Pine Bluff,41253,"Jefferson, Grant & Arkansas (Northwest) Counties PUMA; Arkansas",1700,96683,Pine Bluff,41253,260,54,Pine Bluff,41253,2 Town
AR,5,Not in a CBSA,,23823,Not in a CBSA,,"Southeast Arkansas PUMA, Arkansas",1800,99810,Monticello,8442,37,18,No Principal City,,1 Rural
AR,5,"El Dorado, AR",20980,29899,El Dorado,17756,"South Central Arkansas PUMA, Arkansas",1900,98580,El Dorado,17756,87,26,El Dorado,17756,2 Town
AR,5,"Hope, AR",26260,48793,Hope,8952,"Southwest Arkansas PUMA, Arkansas",2000,103228,Texarkana,29387,87,29,No Principal City,,2 Town
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Gilbert (South) & Queen Creek Towns PUMA, Arizona",100,161229,S Gilbert,,2154,2261,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Mesa City (East) PUMA, Arizona",101,176161,E Mesa,,2837,1973,Mesa,504258,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Mesa City (North Central) PUMA, Arizona",102,150218,NC Mesa,,4066,3628,Mesa,504258,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Mesa City (West) PUMA, Arizona",103,117728,W Mesa,,6647,6457,Mesa,504258,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Mesa City (South Central) PUMA, Arizona",104,113969,SC Mesa,,5218,5357,Mesa,504258,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Gilbert Town (North) PUMA, Arizona",105,143258,N Gilbert,,3947,3788,Chandler,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Chandler City (Northeast) PUMA, Arizona",106,116854,NE Chandler,,5217,5070,Chandler,275987,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Chandler City (South) PUMA, Arizona",107,116353,S Chandler,,2922,2790,Chandler,275987,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA, Arizona",108,114538,S Tempe,,4461,4152,Tempe,180587,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Tempe City (North) PUMA, Arizona",109,122153,N Tempe,,5507,4870,Tempe,180587,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA, Arizona",110,138402,Scottsdale,241361,3346,2897,Scottsdale,241361,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA, Arizona",111,118078,Fountain Hills,23820,1173,91,Scottsdale,241361,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA; Arizona",112,130823,Cave Creek,4892,695,541,Scottsdale,241361,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (Northeast) PUMA, Arizona",113,108434,NE Phoenix,,3824,3289,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (Northeast Central) PUMA, Arizona",114,113989,NEC Phoenix,,4985,4718,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (Northwest Central) PUMA, Arizona",115,111640,NWC Phoenix,,5231,5016,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (Uptown) PUMA, Arizona",116,115470,Central Phoenix (Uptown),,6371,6639,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (East) PUMA, Arizona",117,107807,"E Phoenix (Biltmore, Camelback)",,5123,4507,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",118,118417,Central Phoenix (Downtown),,4815,3348,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (South) PUMA, Arizona",119,121336,Phoenix,,4403,3800,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City--Ahwatukee & South Mountain PUMA, Arizona",120,113919,S Phoenix,,3704,2008,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix (Southwest) & Tolleson Cities PUMA, Arizona",121,152884,Tolleson,7216,2815,2448,Phoenix,1608139,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City--Maryvale (East) PUMA, Arizona",122,122239,W Phoenix (E Maryvale),,8076,8185,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City--Maryvale (West) PUMA, Arizona",123,133075,W Phoenix (W Maryvale),,7786,8372,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Glendale City (South) PUMA, Arizona",124,117920,S Glendale,,5649,4482,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (West) PUMA, Arizona",125,117668,W Phoenix,,6752,7233,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Glendale City (North) PUMA, Arizona",126,129639,N Glendale,,4442,4034,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Peoria City (South & Central) PUMA, Arizona",127,112851,S & C Peoria,,4298,4017,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix City (North) PUMA, Arizona",128,111916,N Phoenix (North Mountain Village),,4158,3790,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Phoenix (Far North) & Peoria (Northwest) Cities PUMA, Arizona",129,131437,NW Peoria,,1034,496,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--El Mirage City & Sun City PUMA, Arizona",130,125230,El Mirage,35805,3159,2785,Phoenix,1608139,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Surprise City (Central) PUMA, Arizona",131,122018,C Surprise,,3734,3115,Phoenix,1608139,5 Core City
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA; Arizona",132,135972,Goodyear,95294,1218,908,Phoenix,1608139,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA, Arizona",133,121441,Avondale,89334,3531,3073,Phoenix,1608139,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Maricopa County (West) & Gila River Indian Community (Northwest) PUMA, Arizona",134,147713,Buckeye,91502,112,23,Phoenix,1608139,4 Satellite
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Pima County (West) PUMA, Arizona",201,106558,Ajo,3039,339,15,No Principal City,,1 Rural
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Tucson (West) & Marana Cities PUMA, Arizona",202,129431,Marana,51908,822,398,Tucson,542629,4 Satellite
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Pima County (North Central)--Oro Valley Town PUMA, Arizona",203,117182,Oro Valley,47070,1583,574,Tucson,542629,4 Satellite
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Pima County (Northeast) PUMA, Arizona",204,106971,Casas Adobes,70973,1275,306,Tucson,542629,4 Satellite
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town PUMA, Arizona",205,145502,Sahuarita,34134,441,126,Tucson,542629,4 Satellite
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Tucson City (Northeast) PUMA, Arizona",206,99318,NE Tucson,,4747,4198,Tucson,542629,5 Core City
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Tucson City (Northwest) PUMA, Arizona",207,107532,NW Tucson,,5551,5411,Tucson,542629,5 Core City
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Tucson City (South) PUMA, Arizona",208,108419,S Tucson,,4503,4031,Tucson,542629,5 Core City
AZ,4,"Tucson, AZ",46060,980263,Tucson,542629,"Tucson City (Southeast) PUMA, Arizona",209,117563,SE Tucson,,4007,2693,Tucson,542629,5 Core City
AZ,4,"Show Low, AZ",43320,91318,Show Low,11732,"Navajo & Apache Counties PUMA, Arizona",300,181985,Show Low,11732,23,9,Show Low,11732,1 Rural
AZ,4,"Flagstaff, AZ",22380,134421,Flagstaff,76831,"Coconino County--Flagstaff City PUMA, Arizona",400,142254,Flagstaff,76831,159,8,Flagstaff,76831,3 Small City
AZ,4,"Prescott Valley-Prescott, AZ",39150,211033,Prescott,45827,"Yavapai County PUMA, Arizona",500,232396,Prescott Valley,46785,179,28,Prescott Valley,46785,2 Town
AZ,4,"Lake Havasu City-Kingman, AZ",29420,162003,Lake Havasu City,57144,"Mohave & La Paz Counties--Lake Havasu City PUMA, Arizona",600,232033,Lake Havasu City,57144,221,13,Lake Havasu City,57144,3 Small City
AZ,4,"Yuma, AZ",49740,195751,Yuma,95548,"Yuma County--Yuma City PUMA, Arizona",700,211931,Yuma,95548,1358,38,Yuma,95548,3 Small City
AZ,4,"Payson, AZ",37740,63215,Payson,16351,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA; Arizona",800,113879,Payson,16351,37,9,Payson,16351,2 Town
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Pinal County (North)--Apache Junction City PUMA, Arizona",803,156325,Apache Junction,38499,1165,269,Phoenix,1608139,4 Satellite
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA; Arizona",805,133014,Florence,26785,287,61,No Principal City,,2 Town
AZ,4,"Phoenix-Mesa-Chandler, AZ",38060,4192887,Phoenix,1608139,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA; Arizona",807,145956,Casa Grande,53658,632,86,Casa Grande,53658,3 Small City
AZ,4,"Sierra Vista-Douglas, AZ",43420,100242,Sierra Vista,45308,"Cochise & Santa Cruz Counties--Sierra Vista City PUMA, Arizona",900,173036,Sierra Vista,45308,175,23,Sierra Vista,45308,2 Town
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (North)--Berkeley & Albany Cities PUMA, California",101,143146,Berkeley,124321,14168,11514,Berkeley,124321,3 Small City
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",102,171707,Emeryville,12905,14861,11150,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",103,134855,Piedmont,11270,6199,4831,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (North Central)--Oakland City (South Central) PUMA, California",104,134400,SC Oakland,,14613,14769,Oakland,440646,5 Core City
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",105,176486,San Leandro,91008,7598,5626,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",106,145149,Castro Valley,66441,6550,2498,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (Central)--Hayward City PUMA, California",107,158956,Hayward,162954,6397,2745,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",108,149834,Union City,70143,5583,2176,Livermore,87955,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (South Central)--Fremont City (East) PUMA, California",109,206879,Fremont,230504,6734,4779,Livermore,87955,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA; California",110,240135,Livermore,87955,2423,570,Livermore,87955,3 Small City
CA,6,"Sonora, CA",43760,35035,Sonora,5003,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA; California",300,189801,Sonora,5003,57,10,Sonora,5003,1 Rural
CA,6,"Chico, CA",17020,220000,Chico,101475,"Butte County (Northwest)--Chico City PUMA, California",701,121909,Chico,101475,1769,235,Chico,101475,3 Small City
CA,6,"Chico, CA",17020,220000,Chico,101475,"Butte County (Southeast)--Oroville City & Paradise Town PUMA, California",702,101435,Oroville,20042,314,94,No Principal City,,2 Town
CA,6,"Red Bluff, CA",39780,37354,Red Bluff,14710,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",1100,126268,Red Bluff,14710,74,15,Red Bluff,14710,1 Rural
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA, California",1301,123558,Richmond,116448,8910,6027,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA; California",1302,125390,Hercules,26016,4237,3614,Oakland,440646,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA; California",1303,135980,Martinez,37287,3684,1551,Walnut Creek,70127,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA; California",1304,126148,Lafayette,25391,1679,1373,Walnut Creek,70127,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (South)--San Ramon City & Danville Town PUMA, California",1305,141579,San Ramon,84605,2224,851,San Ramon,84605,3 Small City
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA; California",1306,119820,Clayton,11070,3449,2056,Walnut Creek,70127,4 Satellite
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA, California",1307,135358,Pittsburg,76416,3438,2180,No Principal City,,3 Small City
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (Northeast)--Antioch City PUMA, California",1308,118654,Antioch,115291,3323,1823,No Principal City,,3 Small City
CA,6,"San Francisco-Oakland-Berkeley, CA",41860,4335391,Oakland,440646,"Contra Costa County (East)--Brentwood & Oakley Cities PUMA, California",1309,121338,Brentwood,64292,1714,874,No Principal City,,3 Small City
CA,6,"Susanville, CA",45000,30652,Susanville,16728,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",1500,129505,Susanville,16728,38,7,Susanville,16728,1 Rural
