state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
FL,12,"Deltona-Daytona Beach-Ormond Beach, FL",19660,590289,Deltona,93692,"Volusia County (Northeast)--Daytona Beach, Ormond Beach & Holly Hill Cities PUMA; Florida",12702,137654,Daytona Beach,72647,1819,761,Daytona Beach,72647,3 Small City
FL,12,"Deltona-Daytona Beach-Ormond Beach, FL",19660,590289,Deltona,93692,"Volusia County--Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities PUMA; Florida",12703,143033,Port Orange,62596,1542,952,Daytona Beach,72647,4 Satellite
FL,12,"Deltona-Daytona Beach-Ormond Beach, FL",19660,590289,Deltona,93692,"Volusia County (Southwest Central)--Deltona & Lake Helen Cities PUMA, Florida",12704,132544,Deltona,93692,1094,318,Deltona,93692,3 Small City
GA,13,"St Marys, GA",41220,84965,St Marys,18256,"Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA, Georgia",100,153185,St Marys,18256,255,104,St Marys,18256,1 Rural
GA,13,"Hinesville, GA",25980,118355,Hinesville,34891,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA; Georgia",200,119596,Hinesville,34891,238,88,Hinesville,34891,2 Town
GA,13,"Statesboro, GA",44340,109298,Statesboro,33438,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA; Georgia",300,153937,Statesboro,33438,164,84,Statesboro,33438,2 Town
GA,13,"Savannah, GA",42340,347611,Savannah,147780,"Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA, Georgia",401,168916,Savannah,147780,2226,1313,Savannah,147780,3 Small City
GA,13,"Savannah, GA",42340,347611,Savannah,147780,"Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA, Georgia",402,120733,Pooler,25711,559,402,Savannah,147780,4 Satellite
GA,13,"Waycross, GA",48180,40679,Waycross,13942,"Southern Georgia Regional Commission (East & Central) PUMA, Georgia",500,170684,Waycross,13942,66,34,Waycross,13942,1 Rural
GA,13,"Valdosta, GA",46660,139588,Valdosta,55378,"Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA, Georgia",600,116436,Valdosta,55378,574,233,Valdosta,55378,3 Small City
GA,13,"Tifton, GA",45700,27213,Tifton,17045,"Southern Georgia Regional Commission (West) PUMA, Georgia",700,126749,Tifton,17045,102,55,Tifton,17045,2 Town
GA,13,"Thomasville, GA",45620,57462,Thomasville,18881,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA; Georgia",800,110401,Thomasville,18881,120,67,Thomasville,18881,1 Rural
GA,13,"Albany, GA",10500,157308,Albany,69647,"Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA, Georgia",900,118431,Albany,69647,605,174,Albany,69647,3 Small City
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA, Georgia",1001,126614,Sandy Springs,108080,2846,2743,Sandy Springs,108080,3 Small City
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA, Georgia",1002,117062,Johns Creek,82453,2581,2640,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA, Georgia",1003,121970,East Point,38358,1835,1709,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA, Georgia",1004,132751,Union City,26830,959,710,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA, Georgia",1005,169246,W Alpharetta,,2021,1789,Alpharetta,65818,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA, Georgia",1006,131999,"N Atlanta (Buckhead, Underwood Hills)",,4031,3810,Atlanta,498715,5 Core City
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast) PUMA, Georgia",1007,146307,"SE Atlanta (Downtown Atlanta, Pittsburgh)",,5661,5523,Atlanta,498715,5 Core City
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--DeKalb County (South) PUMA, Georgia",1008,124316,Panthersville,11237,1831,1771,Atlanta,498715,4 Satellite
GA,13,"Bainbridge, GA",12460,22911,Bainbridge,14468,"Southwest Georgia Regional Commission (West & Central) PUMA, Georgia",1100,115566,Bainbridge,14468,53,33,Bainbridge,14468,1 Rural
GA,13,"Vidalia, GA",47080,22264,Vidalia,10785,"Heart of Georgia Altamaha Regional Commission (Southeast) PUMA, Georgia",1200,159297,Vidalia,10785,72,46,Vidalia,10785,1 Rural
GA,13,"Dublin, GA",20140,26571,Dublin,16074,"Heart of Georgia Altamaha Regional Commission (North & West) PUMA, Georgia",1300,139563,Dublin,16074,64,42,Dublin,16074,2 Town
GA,13,"Macon-Bibb County, GA",31420,232293,Macon,157346,"Middle Georgia Regional Commission (Central)--Bibb County--Macon City PUMA, Georgia",1400,152770,Macon,157346,1079,612,Macon,157346,5 Core City
GA,13,"Warner Robins, GA",47580,179605,Warner Robins,80308,"Middle Georgia Regional Commission (South)--Houston & Pulaski Counties PUMA, Georgia",1500,166502,Warner Robins,80308,849,264,Warner Robins,80308,3 Small City
GA,13,"Milledgeville, GA",33300,99093,Milledgeville,17070,"Middle Georgia Regional Commission (North & Outside Bibb County) PUMA, Georgia",1600,180194,Milledgeville,17070,119,67,Milledgeville,17070,1 Rural
GA,13,"Columbus, GA-AL",17980,294865,Columbus,206922,"River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties PUMA, Georgia",1700,205888,Columbus,206922,1580,444,Columbus,206922,5 Core City
GA,13,"Americus, GA",11140,32605,Americus,16230,"River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties) PUMA, Georgia",1800,162755,Americus,16230,56,34,Americus,16230,1 Rural
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2049710,Thomaston,9816,"Three Rivers Regional Commission (East) PUMA, Georgia",1900,154234,Griffin,23478,217,138,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--DeKalb County (East Central)--Redan PUMA, Georgia",2001,147402,Redan,31749,2541,2505,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission--DeKalb County--Decatur & Avondale Estates Cities PUMA, Georgia",2002,139766,Decatur,24928,3689,3744,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Central)--DeKalb County (Northeast)--Tucker PUMA, Georgia",2003,164761,Tucker,37005,3211,2847,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission--DeKalb County (North)--Dunwoody City PUMA, Georgia",2004,148641,Dunwoody,51683,4048,3895,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Three Rivers Regional Commission (North Central)--Coweta County PUMA, Georgia",2100,145839,Newnan,42549,430,325,No Principal City,,2 Town
GA,13,"LaGrange, GA-AL",29300,290033,LaGrange,30858,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA; Georgia",2200,102960,LaGrange,30858,150,85,LaGrange,30858,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Three Rivers Regional Commission (Northwest)--Carroll County PUMA, Georgia",2300,118692,Carrollton,26738,313,235,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (South Central)--Fayette County PUMA, Georgia",2400,113544,Peachtree City,38244,681,578,No Principal City,,2 Town
GA,13,"Rome, GA",40660,156005,Rome,37713,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA; Georgia",2500,169664,Rome,37713,247,153,Rome,37713,2 Town
GA,13,"Chattanooga, TN-GA",16860,337879,Chattanooga,181099,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA; Georgia",2600,177588,Fort Oglethorpe,10423,308,161,Chattanooga,181099,4 Satellite
